chrX_7_one.fasta	>dm5	6361930	6362314	{6362308: 'TAA'}
chrX_8_one.fasta	>ZI10	6361930	6362314	{}
chrX_9_one.fasta	>ZI103	6361930	6362314	{}
chrX_10_one.fasta	>ZI104	6361930	6362314	{}
chr3L_747_one.fasta	>ZI114N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI117	6361930	6362314	{}
chr3L_747_one.fasta	>ZI118N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI126	6361930	6362314	{}
chr3L_747_one.fasta	>ZI129	6361930	6362314	{}
chr3L_747_one.fasta	>ZI134N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI136	6361930	6362314	{}
chr3L_747_one.fasta	>ZI138	6361930	6362314	{}
chr3L_747_one.fasta	>ZI152	6361930	6362314	{}
chr3L_747_one.fasta	>ZI157	6361930	6362314	{}
chr3L_747_one.fasta	>ZI161	6361930	6362314	{}
chr3L_747_one.fasta	>ZI164	6361930	6362314	{}
chr3L_747_one.fasta	>ZI165	6361930	6362314	{}
chr3L_747_one.fasta	>ZI167	6361930	6362314	{}
chr3L_747_one.fasta	>ZI170	6361930	6362314	{}
chr3L_747_one.fasta	>ZI172	6361930	6362314	{}
chr3L_747_one.fasta	>ZI173	6361930	6362314	{6362164: 'TGA'}
chr3L_747_one.fasta	>ZI176	6361930	6362314	{}
chr3L_747_one.fasta	>ZI177	6361930	6362314	{}
chr3L_747_one.fasta	>ZI178	6361930	6362314	{}
chr3L_747_one.fasta	>ZI179	6361930	6362314	{}
chr3L_747_one.fasta	>ZI181	6361930	6362314	{}
chr3L_747_one.fasta	>ZI182	6361930	6362314	{}
chr3L_747_one.fasta	>ZI184	6361930	6362314	{}
chr3L_747_one.fasta	>ZI185	6361930	6362314	{}
chr3L_747_one.fasta	>ZI188	6361930	6362314	{}
chr3L_747_one.fasta	>ZI190	6361930	6362314	{}
chr3L_747_one.fasta	>ZI191	6361930	6362314	{}
chr3L_747_one.fasta	>ZI193	6361930	6362314	{}
chr3L_747_one.fasta	>ZI194	6361930	6362314	{}
chr3L_747_one.fasta	>ZI196	6361930	6362314	{}
chr3L_747_one.fasta	>ZI197N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI198	6361930	6362314	{}
chr3L_747_one.fasta	>ZI199	6361930	6362314	{}
chr3L_747_one.fasta	>ZI200	6361930	6362314	{}
chr3L_747_one.fasta	>ZI202	6361930	6362314	{}
chr3L_747_one.fasta	>ZI206	6361930	6362314	{}
chr3L_747_one.fasta	>ZI207	6361930	6362314	{}
chr3L_747_one.fasta	>ZI210	6361930	6362314	{}
chr3L_747_one.fasta	>ZI211	6361930	6362314	{}
chr3L_747_one.fasta	>ZI212	6361930	6362314	{}
chr3L_747_one.fasta	>ZI213	6361930	6362314	{}
chr3L_747_one.fasta	>ZI214	6361930	6362314	{}
chr3L_747_one.fasta	>ZI216N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI218	6361930	6362314	{}
chr3L_747_one.fasta	>ZI219	6361930	6362314	{}
chr3L_747_one.fasta	>ZI220	6361930	6362314	{}
chr3L_747_one.fasta	>ZI221	6361930	6362314	{}
chr3L_747_one.fasta	>ZI225	6361930	6362314	{}
chr3L_747_one.fasta	>ZI226	6361930	6362314	{}
chr3L_747_one.fasta	>ZI227	6361930	6362314	{}
chr3L_747_one.fasta	>ZI228	6361930	6362314	{}
chr3L_747_one.fasta	>ZI230	6361930	6362314	{}
chr3L_747_one.fasta	>ZI231	6361930	6362314	{}
chr3L_747_one.fasta	>ZI232	6361930	6362314	{}
chr3L_747_one.fasta	>ZI233	6361930	6362314	{}
chr3L_747_one.fasta	>ZI235	6361930	6362314	{}
chr3L_747_one.fasta	>ZI237	6361930	6362314	{}
chr3L_747_one.fasta	>ZI239	6361930	6362314	{}
